ID,DIVISION,LOCATION,IMAGE_LINK,VIDEO_LINK,LATITUDE,LONGITUDE,Location_1
Drfn338,Casey,Yeend Avenue Pedestrian Parkland,,,-35.167303,149.098552,"(-35.167303, 149.098552)"
Drfn334,Calwell,Calwell District Playing Field,,,-35.437273,149.120379,"(-35.437273, 149.120379)"
Drfn329,Hughes,Hughes Shopping Centre,,,-35.333272,149.093849,"(-35.333272, 149.093849)"
Drfn339,Downer,Downer Neighbourhood Oval,,,-35.246299,149.145459,"(-35.246299, 149.145459)"
Drfn344,Crace,Narden Street Community Park,,,-35.200841,149.103069,"(-35.200841, 149.103069)"
Drfn340,Dickson,Dickson District Playing Field,,,-35.24854,149.148429,"(-35.24854, 149.148429)"
Drfn343,Crace,Narden Street Community Park,,,-35.201421,149.102176,"(-35.201421, 149.102176)"
Drfn341,Lyneham,Southwell Park,,,-35.24761,149.13193,"(-35.24761, 149.13193)"
Drfn342,Lyneham,Southwell Park,,,-35.245828,149.133214,"(-35.245828, 149.133214)"
Drfn346,Moncrieff,Bon Scott Crescent Crip Park,,,-35.155224,149.121498,"(-35.155224, 149.121498)"
Drfn345,Moncrieff,Bon Scott Crescent Crip Park,,,-35.155564,149.120786,"(-35.155564, 149.120786)"
Drfn150,Yarralumla,Weston Park,,,-35.291201,149.090026,"(-35.291201, 149.090026)"
Drfn215,Belconnen,John Knight Memorial Park,,,-35.236056,149.074021,"(-35.236056, 149.074021)"
Drfn296,City,Alinga Street Road Verge Civic,,,-35.278095,149.127721,"(-35.278095, 149.127721)"
Drfn210,Canberra Central (Rural Dist.),Black Mountain,,,-35.274959,149.097714,"(-35.274959, 149.097714)"
Drfn330,Phillip,Edison District Park,,,-35.341669,149.090143,"(-35.341669, 149.090143)"
Drfn347,Paddys River (Rural Dist.),Tidbinbilla Nature Reserve,,,-35.440309,148.942792,"(-35.440309, 148.942792)"
